"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.04853,-34.95864,-95.15,-92.3842857142857,-78.76,-96.4233333333333,-101.69,-95.1042857142857,-83.1183333333333,-106.544,-87.08,4,7,3,9191
-8.05181,-34.95982,-86.9345714285714,-95.6842857142857,-86.89,-99.26,-98.2575,-92.34,-88.34,-99.194,-77.46,5,7,2,8263
-8.04658,-34.94512,-89.2671428571429,-86.5621714285714,-92.2535714285714,-96.41,-90.9375,-78.0426587301587,-87.0581666666667,-80.0905,-96.92,4,3,7,9579
-8.05554,-34.95059,-94.91,-92.1485714285714,-98.36,-93.09,-82.2175,-77.6414285714286,-88.2975,-82.38,-96.3725,6,3,3,7103
-8.05199,-34.94725,-89.2671428571428,-83.21,-91.4571428571429,-42.2,-75.775,-59.7,-90.3666666666667,-95.764,-97.6,5,1,5,8138
-8.05559,-34.95444,-91.0242857142857,-96.2,-96.28,-96.0116666666667,-91.935,-92.6557142857143,-77.0233333333333,-71.052,-96.16,6,5,2,7052
-8.05561,-34.95408,-93.9342857142857,-96.2,-92.04,-97.49,-95.645,-94.8442857142857,-79.065,-68.664,-96.42,6,5,2,7039
-8.05394,-34.95957,-84.6314285714286,-99.6357142857143,-94.21,-94.52,-100.225,-88.2328571428571,-78.955,-88.432,-55.27,6,7,1,7627
-8.05144,-34.94621,-90.7028571428571,-93.5242857142857,-91.27,-44.01,-72.39,-83.9228571428571,-90.225,-92.3,-97.6,5,1,6,8429
-8.05093,-34.95319,-96.34,-95.13,-89.26,-86.51,-91.57,-96.4,-92.66,-95.41,-97.62,4,4,3,8582
-8.05633,-34.95652,-91.1428571428571,-99.1157142857143,-90.77,-100.575,-92.505,-95.2514285714286,-90.64,-65.13,-90.35,6,6,1,6833
-8.05057,-34.94759,-98.64,-87.78,-97.1385714285714,-67.71,-87.405,-86.97,-94.1966666666667,-97.754,-98.9125,4,2,5,8660
-8.05428,-34.94945,-87.93,-91.4907142857143,-89.6571428571428,-87.24,-82.4975,-80.73,-89.0183333333333,-88.816,-96.72,5,2,4,7557
-8.05839,-34.95003,-97.25,-93.2814285714286,-93.5628571428571,-97.5,-76.55,-83.0957142857143,-94.0333333333333,-82.304,-96.2325,7,4,4,6705
-8.05643,-34.95069,-91.2185714285714,-92.1571428571429,-91.9266666666666,-88.84,-84.935,-82.52,-91.6233333333333,-89.13,-95.73,6,3,3,6808
-8.05183,-34.9484,-86.4542857142857,-92.1671428571429,-91.1785714285714,-61.89,-95.28,-81.8642857142857,-88.7283333333333,-91.412,-97.6,4,2,5,8251
